,SiteCode,Specie,X,N,AB,DA,DoA,sindr,ssindr,major_disp,fdiam,flen,seeddiam,seedlen,wooden,Tre.size.max,blacklisted,blackwood,forest_size,effort_ha,dominio,lat_munici,altitude,PP,Temp,Lat,Longitud,ESTADIO,forest.type,ALT_RAST,TEMP_RAST,PP_RASTER,FOREST_RASTER,biomassproxi,Carbonproxi
4282,SPeec1,Sp72,4435,5,0.022785656,0.48828125,0.002225162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4283,SPeec1,Sp73,4436,25,0.619749508,2.44140625,0.060522413,abiotic,anemochoric,,46.7,48,8,8,0.54,25,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.416994593,0.120094443
4284,SPeec1,Sp74,4437,26,1.769265501,2.5390625,0.172779834,zoochoric,mammals,,42,68,5,6.1,0.325,30,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.839505051,0.241777455
4285,SPeec1,Sp75,4438,1,0.075648334,0.09765625,0.007387533,abiotic,autochoric,NA,19,65,8,13,0.89,12,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.043491289,0.012525491
4286,SPeec1,Sp76,4439,52,2.17122436,5.078125,0.212033629,abiotic,anemochoric,NA,9.79,89.04,2.49,9.4,0.74,3,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.24464123,0.070456674
4287,SPeec1,Sp77,4440,1,0.133453409,0.09765625,0.013032559,abiotic,anemochoric,,10,20,4.3,11.3,0.60155,25,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.104845975,0.030195641
4288,SPeec1,Sp78,4441,5,0.088070457,0.48828125,0.008600631,abiotic,anemochoric,NA,17,63,8,12,0.66,8,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.025491829,0.007341647
4289,SPeec1,Sp79,4442,16,0.565884154,1.5625,0.055262124,abiotic,anemochoric,NA,18,47,6,16,0.95,18,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.479979255,0.138234026
4290,SPeec1,Sp80,4443,103,3.528916054,10.05859375,0.344620708,abiotic,anemochoric,,12,58,7,12,0.84,15,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,2.097430795,0.604060069
4291,SPeec1,Sp81,4444,2,0.102249411,0.1953125,0.009985294,zoochoric,mixed,,12.6,14.2,2.1,2.5,0.8366,30,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.132981888,0.038298784
4292,SPeec1,Sp82,4445,9,0.151000003,0.87890625,0.014746094,zoochoric,birds,,7.57,9.44,1.75,2.54,0.48,16,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.061687557,0.017766017
4293,SPeec1,Sp83,4446,1,0.001790493,0.09765625,0.000174853,zoochoric,birds,,8,10,7.5,10,0.83,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.001783915,0.000513767
4294,SPeec1,Sp84,4447,3,0.024071708,0.29296875,0.002350753,zoochoric,birds,,9.5,12,7,5.5,0.73,12,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.011864925,0.003417098
4295,SPeec1,Sp85,4448,5,0.047981236,0.48828125,0.004685668,zoochoric,birds,,7,1,5.7,12.5,0.59,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.030837085,0.00888108
4296,SPeec1,Sp86,4449,4621,32.3440466,451.2695313,3.158598301,abiotic,autochoric,NA,NA,NA,5,7.5,0.763,5,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,5.628053837,1.620879505
4297,SPeec1,Sp87,4450,37,0.571154251,3.61328125,0.055776782,zoochoric,birds,,10,11,10,13.6,0.63,10,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.184395159,0.053105806
4298,SPeec1,Sp88,4451,1,0.00257831,0.09765625,0.000251788,zoochoric,mixed,,12.5,11,8.8,10,0.91,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.002774369,0.000799018
4299,SPeec1,Sp89,4452,6,0.018274091,0.5859375,0.001784579,zoochoric,mammals,,7.5,5.91,4.5,6.5,0.8375,14,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.012049635,0.003470295
4300,SPeec1,Sp90,4453,12,1.971041258,1.171875,0.192484498,abiotic,anemochoric,NA,14,54,8,12,0.95,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,1.776568654,0.511651772
4301,SPeec1,Sp91,4454,3,0.021812185,0.29296875,0.002130096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4302,SPeec1,Sp92,4455,6,0.290705894,0.5859375,0.028389247,zoochoric,mixed,,3.8,4.4,3.5,3.7,0.82,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.242061934,0.069713837
4303,SPeec1,Sp93,4456,28,0.849404825,2.734375,0.08294969,zoochoric,mixed,,7.4,12,9,9.4,0.5895,25,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.615677038,0.177314987
4304,SPeec1,Sp94,4457,68,0.788105755,6.640625,0.076963453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4305,SPeec1,Sp95,4458,3,0.500621873,0.29296875,0.048888855,zoochoric,mammals,NA,1.6,16.2,10.6,16,0.521566504,13,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.17428223,0.050193282
4306,SPeec1,Sp96,4459,686,18.76191322,66.9921875,1.832218088,zoochoric,0,NA,10,20,8,18,0.473,18,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,7.224130584,2.080549608
4307,SPeec1,Sp97,4460,4,0.262359682,0.390625,0.025621063,zoochoric,birds,NA,15,NA,12.75,NA,0.7,14,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.133225885,0.038369055
4308,SPeec1,Sp98,4461,13,0.551547874,1.26953125,0.053862097,zoochoric,birds,NA,9,13,6.5,11,0.521566504,25,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.360229123,0.103745988
4309,SPeec1,Sp99,4462,1,0.167311634,0.09765625,0.016339027,zoochoric,birds,,17.31,37.74,14,15,0.7,20,yes,yes_wood,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.121745555,0.03506272
4310,SPeec1,Sp100,4463,1,0.098932702,0.09765625,0.009661397,abiotic,autochoric,,38,41,10,14.3,0.7,18,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.06615095,0.019051473
4311,SPeec1,Sp101,4464,44,4.595016713,4.296875,0.448732101,abiotic,anemochoric,,17,100,10,14,0.87214,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,3.708063701,1.067922346
4312,SPeec1,Sp102,4465,24,4.703593042,2.34375,0.459335258,abiotic,anemochoric,,15,52,4,9.3,0.785,25,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,4.25071716,1.224206542
4313,SPeec1,Sp103,4466,2,0.010448522,0.1953125,0.001020363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4314,SPeec1,Sp104,4467,20,0.098710363,1.953125,0.009639684,zoochoric,birds,,15.4,13.6,5.04,6.5,0.6535137,7,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.024778349,0.007136165
4315,SPeec1,Sp105,4468,43,0.221355719,4.19921875,0.021616769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4316,SPeec1,Sp106,4469,4,0.009643596,0.390625,0.000941757,zoochoric,mammals,NA,5.5,9.3,4.1,8.2,1.05,9,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.005271448,0.001518177
4317,SPeec1,Sp107,4470,7,0.025923635,0.68359375,0.002531605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4318,SPeec1,Sp108,4471,75,5.508929199,7.32421875,0.537981367,abiotic,autochoric,,25,135,8,9,0.715,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,3.64665143,1.050235612
4319,SPeec1,Sp109,4472,5,0.026107379,0.48828125,0.002549549,abiotic,anemochoric,NA,3,4,0.8,7,0.36,15,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.008038455,0.002315075
4320,SPeec1,Sp110,4473,10,0.589024566,0.9765625,0.05752193,zoochoric,epizoochoric,,4,20,3.3,16.6,0.41,18,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.221380918,0.063757704
4321,SPeec1,Sp111,4474,10,0.311589171,0.9765625,0.03042863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4322,SPeec1,Sp112,4475,7,0.042740583,0.68359375,0.004173885,zoochoric,mixed,,9,10,1.1,1.9,0.6,5,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.007333894,0.002112162
4323,SPeec1,Sp113,4476,3,0.033649652,0.29296875,0.003286099,zoochoric,mammals,,9.6,9.3,5.5,6.6,0.86,16,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.025386176,0.007311219
4324,SPeec1,Sp114,4477,2,0.005249646,0.1953125,0.000512661,zoochoric,NA,NA,46,54,11,23,0.68,7,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.001508387,0.000434415
4325,SPeec1,Sp115,4478,43,0.805448153,4.19921875,0.078657046,zoochoric,birds,NA,10,14,6,11,0.714,16,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.457167321,0.131664188
4326,SPeec1,Sp116,4479,3,0.033887589,0.29296875,0.003309335,abiotic,anemochoric,NA,11.5,28.5,0.8,2.2,0.73,8,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.011158749,0.00321372
4327,SPeec1,Sp117,4480,1,0.006785094,0.09765625,0.000662607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4328,SPeec1,Sp118,4481,1,0.058571008,0.09765625,0.005719825,abiotic,anemochoric,,5,12,3.2,8,0.643,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.040640455,0.011704451
4329,SPeec1,Sp119,4482,2,0.011752717,0.1953125,0.001147726,zoochoric,birds,,6,6.7,5,5,0.435,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.005892093,0.001696923
4330,SPeec1,Sp120,4483,158,5.701523709,15.4296875,0.556789425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4331,SPeec1,Sp121,4484,1,0.263592417,0.09765625,0.025741447,abiotic,anemochoric,,32,90,19.3,30,0.382566667,30,yes,yes,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.155919034,0.044904682
4332,SPeec1,Sp122,4485,35,0.303401126,3.41796875,0.029629016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4333,SPeec1,Sp123,4486,67,3.668363954,6.54296875,0.358238667,abiotic,autochoric,,22,100.7,1.39,9.7,0.63,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,2.177529908,0.627128614
4334,SPeec1,Sp124,4487,4,0.043015523,0.390625,0.004200735,zoochoric,birds,NA,4,8,4,10,0.808906857,30,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.055719864,0.016047321
4335,SPeec1,Sp125,4488,44,0.243798157,4.296875,0.023808414,zoochoric,NA,NA,NA,NA,3,5.4,0.462,7,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.042476758,0.012233306
4336,SPeec1,Sp126,4489,1,0.004776638,0.09765625,0.000466469,zoochoric,bats,,15.8,15.9,3.3,4.2,0.53,7,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.001081907,0.000311589
4337,SPeec1,Sp127,4490,16,0.089241041,1.5625,0.008714945,zoochoric,mixed,,9.1,11,9.8,11.2,0.67,12,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.038774921,0.011167177
4338,SPeec1,Sp128,4491,1,0.00229772,0.09765625,0.000224387,zoochoric,birds,NA,13,15,12,NA,0.54,6,yes,yes,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.000467678,0.000134691
4339,SPeec1,Sp129,4492,1,0.005174525,0.09765625,0.000505325,abiotic,anemochoric,,7.2,57.04,7.01,14.7,0.786666667,10,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.002417987,0.00069638
4340,SPeec1,Sp130,4493,154,3.635375273,15.0390625,0.355017116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4341,SPeec1,Sp131,4494,305,10.38478476,29.78515625,1.014139136,zoochoric,mammals,,25,42.5,16.6,21,0.812,30,yes,yes_wood,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,11.26861324,3.245360612
4342,SPeec1,Sp132,4495,7,0.111665814,0.68359375,0.010904865,zoochoric,birds,NA,16,17,6.1,11.5,0.55,8,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.026885734,0.007743092
4343,SPeec1,Sp133,4496,6,0.118285943,0.5859375,0.011551362,zoochoric,birds,,2.7,3.5,1.7,2,0.25,12,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.019627273,0.005652655
4344,SPeec1,Sp134,4497,2,0.009026075,0.1953125,0.000881453,zoochoric,NA,NA,10,20,8,12,0.78,10,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.004107202,0.001182874
4345,SPeec1,Sp135,4498,592,2.910815551,57.8125,0.284259331,zoochoric,mixed,,5.4,12.7,5,12.5,0.69,6,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.593436027,0.170909576
4346,SPeec1,Sp136,4499,663,4.427340761,64.74609375,0.432357496,zoochoric,mixed,NA,6,9.5,9,6,0.681,15,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,2.132132833,0.614054256
4347,SPeec1,Sp137,4500,61,0.561830875,5.95703125,0.054866296,zoochoric,mixed,,6.5,8.6,6,7,0.725,25,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.504257363,0.145226121
4348,SPeec1,Sp138,4501,30,0.853588465,2.9296875,0.083358249,zoochoric,birds,,4.3,5,2,2,0.17,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.149781968,0.043137207
4349,SPeec1,Sp139,4502,3,0.123831299,0.29296875,0.0120929,zoochoric,birds,,20,20,8.9,13.3,0.81,25,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.130040607,0.037451695
4350,SPeec1,Sp140,4503,2,0.012071902,0.1953125,0.001178897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4351,SPeec1,Sp141,4504,13,0.956572933,1.26953125,0.093415326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4352,SPeec1,Sp142,4505,25,0.265785572,2.44140625,0.025955622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4353,SPeec1,Sp143,4506,5,0.125239025,0.48828125,0.012230374,zoochoric,birds,,3.2,4.3,2.6,2.6,0.57,12,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.04602456,0.013255073
4354,SPeec1,Sp144,4507,6,0.036177908,0.5859375,0.003532999,zoochoric,birds,,4.4,5.6,2.7,4.1,0.48,18,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.017361142,0.005000009
4355,SPeec1,Sp145,4508,11,0.198570938,1.07421875,0.019391693,abiotic,anemochoric,,130,160,35.7,50,0.7485,20,yes,yes_wood,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.153294488,0.044148812
